Area	Mean	Min	Max	IntDen	RawIntDen	adjusted.mean	mouse	slide	section	striatum	blank
30240	8.252	0	29	249535	249535	0	bif.299	1	1	1	yes
30240	57.691	0	108	1744572	1744572	49.439	bif.299	1	1	1	no
30240	67.954	2	119	2054915	2054915	59.702	bif.299	1	1	1	no
30240	77.183	1	128	2334001	2334001	68.931	bif.299	1	1	1	no
30240	73.926	2	133	2235529	2235529	65.674	bif.299	1	1	1	no
30240	74.512	1	136	2253247	2253247	66.26	bif.299	1	1	1	no
29232	7.786	0	28	227587	227587	0	bif.299	1	1	2	yes
29232	87.149	2	140	2547551	2547551	79.363	bif.299	1	1	2	no
29232	91.323	1	154	2669565	2669565	83.537	bif.299	1	1	2	no
29232	72.369	1	137	2115480	2115480	64.583	bif.299	1	1	2	no
29232	70.924	1	125	2073241	2073241	63.138	bif.299	1	1	2	no
29232	63.85	1	107	1866476	1866476	56.064	bif.299	1	1	2	no
41472	7.78	0	88	322644	322644	0	bif.299	1	2	1	yes
41472	58.122	0	115	2410420	2410420	50.342	bif.299	1	2	1	no
41472	79.655	2	146	3303455	3303455	71.875	bif.299	1	2	1	no
41472	73.015	0	135	3028063	3028063	65.235	bif.299	1	2	1	no
41472	83.398	2	134	3458673	3458673	75.618	bif.299	1	2	1	no
41472	74.868	1	133	3104944	3104944	67.088	bif.299	1	2	1	no
46512	9.231	0	43	429354	429354	0	bif.299	1	2	2	yes
46512	54.892	2	111	2553121	2553121	45.661	bif.299	1	2	2	no
46512	62.78	1	120	2920044	2920044	53.549	bif.299	1	2	2	no
46512	70.658	1	127	3286449	3286449	61.427	bif.299	1	2	2	no
46512	73.225	0	140	3405824	3405824	63.994	bif.299	1	2	2	no
46512	77.526	1	135	3605900	3605900	68.295	bif.299	1	2	2	no
35640	8.194	0	29	292022	292022	0	bif.299	1	3	1	yes
35640	46.823	3	86	1668779	1668779	38.629	bif.299	1	3	1	no
35640	61.565	3	141	2194176	2194176	53.371	bif.299	1	3	1	no
35640	55.252	2	104	1969179	1969179	47.058	bif.299	1	3	1	no
35640	61.801	1	128	2202596	2202596	53.607	bif.299	1	3	1	no
35640	53.952	1	99	1922857	1922857	45.758	bif.299	1	3	1	no
34272	9.002	1	49	308533	308533	0	bif.299	1	3	2	yes
34272	50.198	4	84	1720385	1720385	41.196	bif.299	1	3	2	no
34272	52.842	1	98	1811015	1811015	43.84	bif.299	1	3	2	no
34272	53.135	1	110	1821059	1821059	44.133	bif.299	1	3	2	no
34272	63.951	1	133	2191717	2191717	54.949	bif.299	1	3	2	no
34272	59.197	1	118	2028795	2028795	50.195	bif.299	1	3	2	no
10368	11.6	4	26	120270	120270	0	bif.299	3	1	1	yes
10368	52.561	1	97	544951	544951	40.961	bif.299	3	1	1	no
10368	61.874	0	106	641506	641506	50.274	bif.299	3	1	1	no
10368	57.752	1	110	598770	598770	46.152	bif.299	3	1	1	no
10368	70.804	3	111	734098	734098	59.204	bif.299	3	1	1	no
10368	70.851	1	122	734580	734580	59.251	bif.299	3	1	1	no
6048	8.622	2	20	52146	52146	0	bif.299	3	1	2	yes
6048	67.37	1	118	407454	407454	58.748	bif.299	3	1	2	no
6048	66.026	1	117	399327	399327	57.404	bif.299	3	1	2	no
6048	76.177	4	122	460716	460716	67.555	bif.299	3	1	2	no
6048	89.931	2	140	543904	543904	81.309	bif.299	3	1	2	no
6048	97.851	0	151	591800	591800	89.229	bif.299	3	1	2	no
25056	8.23	0	35	206208	206208	0	bif.299	3	2	1	yes
25056	56.159	0	117	1407112	1407112	47.929	bif.299	3	2	1	no
25056	58.262	1	105	1459804	1459804	50.032	bif.299	3	2	1	no
25056	60.926	1	121	1526551	1526551	52.696	bif.299	3	2	1	no
