sample_id	file	total_mass	internal_scale	external_scale
TH_014_A01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A01/abundances.cxb	543658	0.64267	1
TH_014_A02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A02/abundances.cxb	473199	0.358568	1
TH_014_A03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A03/abundances.cxb	7352	0.00854526	1
TH_014_A04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A04/abundances.cxb	601860	0.570313	1
TH_014_A05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A05/abundances.cxb	376318	0.317284	1
TH_014_A06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A06/abundances.cxb	485882	0.197984	1
TH_014_A07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A07/abundances.cxb	347843	0.39249	1
TH_014_A08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A08/abundances.cxb	615452	0.260612	1
TH_014_A09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A09/abundances.cxb	344518	0.32816	1
TH_014_A10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A10/abundances.cxb	580127	0.763857	1
TH_014_A11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A11/abundances.cxb	476513	0.502987	1
TH_014_A12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_A12/abundances.cxb	164	0.000184962	1
TH_014_B01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B01/abundances.cxb	459336	0.537796	1
TH_014_B02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B02/abundances.cxb	218	0.00014797	1
TH_014_B03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B03/abundances.cxb	327127	0.318764	1
TH_014_B04_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B04/abundances.cxb	625718	0.367076	1
TH_014_B05_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B05/abundances.cxb	440846	0.457856	1
TH_014_B06_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B06/abundances.cxb	55474	0.0289281	1
TH_014_B07_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B07/abundances.cxb	430520	0.369	1
TH_014_B08_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B08/abundances.cxb	594222	0.270822	1
TH_014_B09_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B09/abundances.cxb	12644	0.00747248	1
TH_014_B10_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B10/abundances.cxb	548819	0.672375	1
TH_014_B11_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B11/abundances.cxb	496332	0.342476	1
TH_014_B12_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_B12/abundances.cxb	550893	0.184592	1
TH_014_C01_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C01/abundances.cxb	334678	0.435845	1
TH_014_C02_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C02/abundances.cxb	629451	1.27728	1
TH_014_C03_0	/home-3/lgoff2@jhu.edu/work/seq/lgoff/Th_McCallion/Th_wt_all_timepoints/data/quants/TH_014_C03/abundances.cxb	475134	0.636381	1
