Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
yellow	GO:1903532	positive regulation of secretion by cell	10/64	389/23276	1.0277535849391e-07	0.000151303444877403	0.000105406019553291	Cartpt/Nr3c1/Gal/Rasgrp1/Ghrh/P2ry1/Sdcbp/Rab27a/Gck/Isl1	10
yellow	GO:0051047	positive regulation of secretion	10/64	416/23276	1.91281219819725e-07	0.000151303444877403	0.000105406019553291	Cartpt/Nr3c1/Gal/Rasgrp1/Ghrh/P2ry1/Sdcbp/Rab27a/Gck/Isl1	10
yellow	GO:0010817	regulation of hormone levels	10/64	466/23276	5.41307445398156e-07	0.000242538973901065	0.000168965537077926	Esr1/Cartpt/Nr3c1/Gal/Ghrh/P2ry1/Npy1r/Gck/Isl1/Ghsr	10
yellow	GO:0046883	regulation of hormone secretion	8/64	264/23276	6.29764425606155e-07	0.000242538973901065	0.000168965537077926	Cartpt/Gal/Ghrh/P2ry1/Npy1r/Gck/Isl1/Ghsr	8
yellow	GO:0055074	calcium ion homeostasis	9/64	371/23276	7.66558071747994e-07	0.000242538973901065	0.000168965537077926	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck/Kl	9
yellow	GO:0072507	divalent inorganic cation homeostasis	9/64	400/23276	1.42836098125526e-06	0.000376611178724303	0.000262367359188465	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck/Kl	9
yellow	GO:0046887	positive regulation of hormone secretion	6/64	142/23276	2.59861300724241e-06	0.00057482602693961	0.00040045435505075	Cartpt/Gal/Ghrh/P2ry1/Gck/Isl1	6
yellow	GO:0046879	hormone secretion	8/64	324/23276	2.90683199463773e-06	0.00057482602693961	0.00040045435505075	Cartpt/Gal/Ghrh/P2ry1/Npy1r/Gck/Isl1/Ghsr	8
yellow	GO:0009914	hormone transport	8/64	333/23276	3.55833266206688e-06	0.0006254758079322	0.000435739683881172	Cartpt/Gal/Ghrh/P2ry1/Npy1r/Gck/Isl1/Ghsr	8
yellow	GO:0048638	regulation of developmental growth	8/64	338/23276	3.97108586312424e-06	0.000628225783546255	0.000437655463020114	Prox1/Nr3c1/Gal/Ghrh/Fstl4/Npy1r/Ghsr/Ghr	8
yellow	GO:0032870	cellular response to hormone stimulus	9/64	468/23276	5.13989133283714e-06	0.000739209826231669	0.000514972844543587	Esr1/Nr3c1/Pgr/Gck/Isl1/Foxo1/Ghsr/Ghr/Kl	9
yellow	GO:0006874	cellular calcium ion homeostasis	8/64	358/23276	6.05362988630436e-06	0.000798070206677791	0.000555978113242163	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck	8
yellow	GO:0045927	positive regulation of growth	7/64	262/23276	7.595869183168e-06	0.000924358849828598	0.000643957492694485	Prox1/Nr3c1/Ghrh/Sdcbp/Wfs1/Ghsr/Ghr	7
yellow	GO:0051480	regulation of cytosolic calcium ion concentration	7/64	268/23276	8.80258913572023e-06	0.000967139744064959	0.000673760936879375	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Gck	7
yellow	GO:0072503	cellular divalent inorganic cation homeostasis	8/64	379/23276	9.17009871110897e-06	0.000967139744064959	0.000673760936879375	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck	8
yellow	GO:0009755	hormone-mediated signaling pathway	6/64	184/23276	1.15260382737155e-05	0.00113963703431362	0.000793931715301323	Esr1/Nr3c1/Pgr/Isl1/Ghsr/Ghr	6
yellow	GO:0048511	rhythmic process	7/64	286/23276	1.34160153891862e-05	0.00124847860857015	0.00086975653947232	Prox1/Esr1/Cartpt/Ghrh/Bhlhe40/Pgr/Magel2	7
yellow	GO:0023061	signal release	8/64	417/23276	1.82741536156893e-05	0.0016060950566678	0.00111889115997817	Cartpt/Gal/Ghrh/P2ry1/Npy1r/Gck/Isl1/Ghsr	8
yellow	GO:0007631	feeding behavior	5/64	124/23276	2.34620135787146e-05	0.00195352134113297	0.00136092677102018	Cartpt/Gal/P2ry1/Npy1r/Ghsr	5
yellow	GO:0006875	cellular metal ion homeostasis	8/64	445/23276	2.90631113440297e-05	0.00229889210731275	0.00160153039879995	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck	8
yellow	GO:0007204	positive regulation of cytosolic calcium ion concentration	6/64	240/23276	5.13497279420621e-05	0.00386834617163534	0.00269489549650822	Esr1/Calcr/Ghrh/P2ry1/Trhr/Gck	6
yellow	GO:0030003	cellular cation homeostasis	8/64	495/23276	6.15741876527044e-05	0.00442774385757175	0.00308460164939625	Esr1/Calcr/Ghrh/P2ry1/Npy1r/Trhr/Wfs1/Gck	8
yellow	GO:0032094	response to food	3/64	29/23276	6.88366714209184e-05	0.00473476583425621	0.00329848947266369	Cartpt/Ghrh/Ghsr	3
yellow	GO:0051952	regulation of amine transport	4/64	83/23276	8.11485995779313e-05	0.0053490451888453	0.00372642911219711	Cartpt/Nr3c1/P2ry1/Gck	4
yellow	GO:0040014	regulation of multicellular organism growth	4/64	86/23276	9.31987445260475e-05	0.00567078514770027	0.00395057026391788	Ghrh/Npy1r/Ghsr/Ghr	4
yellow	GO:0046888	negative regulation of hormone secretion	4/64	86/23276	9.31987445260475e-05	0.00567078514770027	0.00395057026391788	Cartpt/Npy1r/Gck/Ghsr	4
yellow	GO:0007623	circadian rhythm	5/64	167/23276	9.69838617910563e-05	0.00568253590197967	0.00395875646375189	Prox1/Cartpt/Ghrh/Bhlhe40/Magel2	5
yellow	GO:0015837	amine transport	4/64	88/23276	0.000101922250629542	0.0057586071605691	0.00401175174470414	Cartpt/Nr3c1/P2ry1/Gck	4
yellow	GO:0043255	regulation of carbohydrate biosynthetic process	4/64	89/23276	0.000106499448300176	0.00580972852451306	0.00404736560327712	Nr3c1/P2ry1/Gck/Foxo1	4
yellow	GO:0048639	positive regulation of developmental growth	5/64	175/23276	0.000120837442748121	0.00637216114758423	0.00443918605464149	Prox1/Nr3c1/Ghrh/Ghsr/Ghr	5
yellow	GO:0048732	gland development	7/64	408/23276	0.000126944713838826	0.00647827539654913	0.00451311087909171	Prox1/Esr1/Nr3c1/Ghrh/Pgr/Isl1/Gsx1	7
yellow	GO:0060135	maternal process involved in female pregnancy	3/64	37/23276	0.000144097197767683	0.00712380521463982	0.0049628212520646	Esr1/Pgr/Ghsr	3
yellow	GO:0021983	pituitary gland development	3/64	38/23276	0.000156141867599627	0.00748534650129122	0.00521469012366219	Ghrh/Isl1/Gsx1	3
yellow	GO:0030518	intracellular steroid hormone receptor signaling pathway	4/64	100/23276	0.000167214226453635	0.00753322518763387	0.00524804496071107	Esr1/Nr3c1/Pgr/Isl1	4
yellow	GO:0071375	cellular response to peptide hormone stimulus	5/64	188/23276	0.000168912134726937	0.00753322518763387	0.00524804496071107	Gck/Foxo1/Ghsr/Ghr/Kl	5
yellow	GO:1901214	regulation of neuron death	6/64	299/23276	0.000171426110464488	0.00753322518763387	0.00524804496071107	Esr1/Nr3c1/Wfs1/Isl1/Ghr/Grid2	6
yellow	GO:0006111	regulation of gluconeogenesis	3/64	40/23276	0.000182153098439299	0.00755705779748687	0.00526464802313444	Nr3c1/Gck/Foxo1	3
yellow	GO:0060603	mammary gland duct morphogenesis	3/64	40/23276	0.000182153098439299	0.00755705779748687	0.00526464802313444	Esr1/Nr3c1/Pgr	3
yellow	GO:1903531	negative regulation of secretion by cell	5/64	192/23276	0.000186299149242723	0.00755705779748687	0.00526464802313444	Cartpt/P2ry1/Npy1r/Gck/Ghsr	5
