Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
yellow	GO:0099503	secretory vesicle	8/64	435/23196	2.53317301712064e-05	0.00372376433516734	0.00258650297537581	Cartpt/Calcr/Gal/Rab27a/Fstl4/Npy1r/Gck/Slc18a3	8
green	GO:0005743	mitochondrial inner membrane	25/53	391/23196	1.2714198003923e-30	1.322276592408e-28	8.83302177114653e-29	Cox5a/Ndufa11/Atp5d/Atp5g1/Cox6c/Slc25a5/Mdh2/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Cox5b/Slc25a3/Uqcrh/Usmg5	25
green	GO:0019866	organelle inner membrane	25/53	431/23196	1.49109584721236e-29	7.75369840550425e-28	5.17959610084292e-28	Cox5a/Ndufa11/Atp5d/Atp5g1/Cox6c/Slc25a5/Mdh2/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Cox5b/Slc25a3/Uqcrh/Usmg5	25
green	GO:0098800	inner mitochondrial membrane protein complex	16/53	95/23196	2.17777826220153e-26	7.54963130896531e-25	5.0432759756246e-25	Cox5a/Ndufa11/Atp5d/Atp5g1/Uqcrb/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Uqcrfs1/Atp5k/Uqcrh/Usmg5	16
green	GO:0098798	mitochondrial protein complex	16/53	130/23196	4.54854336293951e-24	1.18262127436427e-22	7.90010163036862e-23	Cox5a/Ndufa11/Atp5d/Atp5g1/Uqcrb/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Uqcrfs1/Atp5k/Uqcrh/Usmg5	16
green	GO:0044455	mitochondrial membrane part	16/53	156/23196	9.54642363448824e-23	1.98565611597355e-21	1.32645044184468e-21	Cox5a/Ndufa11/Atp5d/Atp5g1/Uqcrb/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Uqcrfs1/Atp5k/Uqcrh/Usmg5	16
green	GO:0016469	proton-transporting two-sector ATPase complex	11/53	43/23196	1.59017285476324e-20	2.75629961492295e-19	1.84125277919954e-19	Atp5d/Atp5g1/Atp5g3/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Atp5h/Atp5k/Usmg5	11
green	GO:0045259	proton-transporting ATP synthase complex	9/53	19/23196	7.52359633141115e-20	1.11779145495251e-18	7.46702793794189e-19	Atp5d/Atp5g1/Atp5g3/Atp5o/Atp5b/Atp5a1/Atp5h/Atp5k/Usmg5	9
green	GO:0005753	mitochondrial proton-transporting ATP synthase complex	8/53	16/23196	5.41890499657556e-18	7.04457649554823e-17	4.70589118123667e-17	Atp5d/Atp5g1/Atp5o/Atp5b/Atp5a1/Atp5h/Atp5k/Usmg5	8
green	GO:0070469	respiratory chain	11/53	77/23196	1.74557124404121e-17	2.01710454866984e-16	1.34745850417216e-16	Cox5a/Ndufa11/Uqcr11/Uqcrb/Cyc1/Ndufa4/Cox4i1/Cox8a/Uqcrfs1/Uqcrq/Uqcrh	11
green	GO:0043209	myelin sheath	13/53	201/23196	6.51913990595445e-16	6.77990550219263e-15	4.5290866715052e-15	Cox5a/Eno2/Pgam1/Slc25a5/Mdh2/Aco2/Atp5o/Atp5b/Atp5a1/Idh3a/Atp5h/Uqcrfs1/Slc25a3	13
green	GO:0070069	cytochrome complex	7/53	24/23196	7.2316186682809e-14	6.83716674092012e-13	4.56733810628267e-13	Cox5a/Uqcrb/Ndufa4/Cox4i1/Cox8a/Uqcrfs1/Uqcrh	7
green	GO:0098803	respiratory chain complex	8/53	60/23196	9.98459136608681e-13	8.65331251727523e-12	5.78055289615552e-12	Cox5a/Ndufa11/Uqcrb/Ndufa4/Cox4i1/Cox8a/Uqcrfs1/Uqcrh	8
green	GO:0005746	mitochondrial respiratory chain	8/53	61/23196	1.1471858430099e-12	9.1774867440792e-12	6.13070976831202e-12	Cox5a/Ndufa11/Uqcrb/Ndufa4/Cox4i1/Cox8a/Uqcrfs1/Uqcrh	8
green	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	5/53	12/23196	4.01434362446338e-11	2.98208383531565e-10	1.99208029484649e-10	Atp5g1/Atp5g3/Atp5o/Atp5h/Atp5k	5
green	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	5/53	21/23196	1.01551391490023e-09	7.04089647664158e-09	4.70343286901158e-09	Atp5g1/Atp5g3/Atp5o/Atp5h/Atp5k	5
green	GO:0045277	respiratory chain complex IV	4/53	12/23196	1.1857900241507e-08	7.70763515697952e-08	5.14882510486486e-08	Cox5a/Ndufa4/Cox4i1/Cox8a	4
green	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	4/53	14/23196	2.38983403154826e-08	1.46201611341776e-07	9.76650440137369e-08	Atp5d/Atp6v1e1/Atp5b/Atp5a1	4
green	GO:1990204	oxidoreductase complex	4/53	86/23196	4.48937452494633e-05	0.000259386083663566	0.000173274104471613	Ndufa11/Uqcrb/Uqcrfs1/Uqcrh	4
green	GO:0008021	synaptic vesicle	4/53	134/23196	0.000250371088710587	0.00137045227504743	0.000915484313290791	Vamp2/Atp6v1g2/Mt3/Scamp5	4
green	GO:0098793	presynapse	5/53	253/23196	0.000277773660686734	0.00144442303557102	0.000964897979227603	Vamp2/Atp6v1g2/Mt3/Sncb/Scamp5	5
green	GO:0070382	exocytic vesicle	4/53	150/23196	0.00038454241233447	0.00190440051822785	0.00127217038667043	Vamp2/Atp6v1g2/Mt3/Scamp5	4
green	GO:0005759	mitochondrial matrix	4/53	217/23196	0.00152392772023416	0.00720402195019784	0.00481240332705523	Cs/Slc25a5/Mdh2/Atp5b	4
green	GO:0030133	transport vesicle	4/53	231/23196	0.0019147437287068	0.00865797164284812	0.00578366526748964	Vamp2/Atp6v1g2/Mt3/Scamp5	4
brown	GO:0043679	axon terminus	13/148	173/23196	8.94128683959814e-11	1.45782235221481e-08	1.05403423658274e-08	Th/Slc18a2/Snca/Oprk1/Ntsr1/Calb1/Drd2/Cck/Cdh8/Erc2/Penk/Bdnf/Flrt3	13
brown	GO:0033267	axon part	15/148	263/23196	1.51343517538694e-10	1.45782235221481e-08	1.05403423658274e-08	Th/Slc1a2/Slc18a2/Snca/Oprk1/Ntsr1/Calb1/Drd2/Cck/Cdh8/Erc2/Penk/Bdnf/Flrt3/Robo2	15
brown	GO:0044306	neuron projection terminus	13/148	186/23196	2.20882174578002e-10	1.45782235221481e-08	1.05403423658274e-08	Th/Slc18a2/Snca/Oprk1/Ntsr1/Calb1/Drd2/Cck/Cdh8/Erc2/Penk/Bdnf/Flrt3	13
brown	GO:0030424	axon	19/148	496/23196	4.39933542708053e-10	2.17767103640486e-08	1.57449899495514e-08	Th/Slc1a2/Ddc/Slc6a3/Slc18a2/Snca/Oprk1/Ntsr1/Calb1/Ret/Drd2/Cck/Cdh8/Erc2/Penk/Bdnf/Flrt3/Robo2/Dcc	19
brown	GO:0098793	presynapse	13/148	253/23196	9.4006099458232e-09	3.72264153854599e-07	2.69154305817254e-07	Th/Slc1a2/Cadps2/Ddc/Slc18a2/Snca/Ntsr1/Calb1/Drd2/Cck/Erc2/Bdnf/Sv2c	13
brown	GO:0043204	perikaryon	9/148	117/23196	6.30968004801223e-08	2.08219441584403e-06	1.50546752022748e-06	Th/Ntsr2/Oprk1/Pcsk2/Ntsr1/Drd2/Cck/Penk/Bdnf	9
