Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
yellow	GO:0042562	hormone binding	6/65	76/22849	7.82922164205483e-08	1.55018588512686e-05	9.3950659704658e-06	Esr1/Calcr/Nr3c1/Pgr/Ghsr/Ghr	6
yellow	GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	8/65	365/22849	8.96477572482476e-06	0.000887512796757651	0.000537886543489486	Prox1/Esr1/Nr3c1/Bhlhe40/Pgr/Isl1/Foxo1/Gsx1	8
yellow	GO:0051117	ATPase binding	4/65	82/22849	8.83055070830655e-05	0.00582816346748233	0.00353222028332262	Esr1/Sdf2l1/Pgr/Wfs1	4
green	GO:0015078	hydrogen ion transmembrane transporter activity	20/51	89/22849	4.58482468474331e-36	4.49312819104845e-34	2.65437218590402e-34	Cox5a/Atp5d/Atp5g1/Cox6c/Atp5g3/Atp6v1e1/Uqcr11/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Uqcrh	20
green	GO:0015077	monovalent inorganic cation transmembrane transporter activity	20/51	336/22849	6.50702814311858e-24	3.1884437901281e-22	1.88361340985011e-22	Cox5a/Atp5d/Atp5g1/Cox6c/Atp5g3/Atp6v1e1/Uqcr11/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Uqcrh	20
green	GO:0022890	inorganic cation transmembrane transporter activity	20/51	486/22849	1.0282448989597e-20	3.35893333660169e-19	1.9843322611503e-19	Cox5a/Atp5d/Atp5g1/Cox6c/Atp5g3/Atp6v1e1/Uqcr11/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Uqcrh	20
green	GO:0009055	electron carrier activity	9/51	71/22849	4.37743271916199e-14	1.07247101619469e-12	6.33575788299761e-13	Cox5a/Cox6c/Uqcr11/Cyc1/Ndufa4/Cox4i1/Cox8a/Cox6b1/Cycs	9
green	GO:0004129	cytochrome-c oxidase activity	6/51	24/22849	1.19051790498262e-11	1.66672506697567e-10	9.84638868782617e-11	Cox5a/Cox6c/Ndufa4/Cox4i1/Cox8a/Cox6b1	6
green	GO:0015002	heme-copper terminal oxidase activity	6/51	24/22849	1.19051790498262e-11	1.66672506697567e-10	9.84638868782617e-11	Cox5a/Cox6c/Ndufa4/Cox4i1/Cox8a/Cox6b1	6
green	GO:0016676	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	6/51	24/22849	1.19051790498262e-11	1.66672506697567e-10	9.84638868782617e-11	Cox5a/Cox6c/Ndufa4/Cox4i1/Cox8a/Cox6b1	6
green	GO:0016675	oxidoreductase activity, acting on a heme group of donors	6/51	25/22849	1.56382573187453e-11	1.91568652154629e-10	1.13171599017235e-10	Cox5a/Cox6c/Ndufa4/Cox4i1/Cox8a/Cox6b1	6
green	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	5/51	21/22849	8.97022602347206e-10	9.76757944778069e-09	5.77032083381244e-09	Atp5d/Atp6v1e1/Atp5o/Atp5b/Atp5a1	5
green	GO:0019829	cation-transporting ATPase activity	6/51	56/22849	2.72067517972291e-09	2.4790892370896e-08	1.46455325499386e-08	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0036442	hydrogen-exporting ATPase activity	5/51	26/22849	2.87546437263667e-09	2.4790892370896e-08	1.46455325499386e-08	Atp5d/Atp6v1e1/Atp6v1g2/Atp5b/Atp5a1	5
green	GO:0042625	ATPase coupled ion transmembrane transporter activity	6/51	57/22849	3.03561947398727e-09	2.4790892370896e-08	1.46455325499386e-08	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0046961	proton-transporting ATPase activity, rotational mechanism	4/51	19/22849	8.32296776757932e-08	6.27423724017518e-07	3.70658483576407e-07	Atp5d/Atp6v1e1/Atp5b/Atp5a1	4
green	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	6/51	105/22849	1.24135021153507e-07	8.58224467635166e-07	5.07006935767284e-07	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	6/51	106/22849	1.31360887903342e-07	8.58224467635166e-07	5.07006935767284e-07	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity	6/51	110/22849	1.63818981272675e-07	9.96646020409828e-07	5.88781215064882e-07	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0015399	primary active transmembrane transporter activity	6/51	111/22849	1.72887574969052e-07	9.96646020409828e-07	5.88781215064882e-07	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0043492	ATPase activity, coupled to movement of substances	6/51	119/22849	2.61403111880637e-07	1.42319472023902e-06	8.40770242890937e-07	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0022804	active transmembrane transporter activity	7/51	350/22849	1.20905054473372e-05	6.23615544125811e-05	3.6840875324296e-05	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Slc25a3	7
green	GO:0016887	ATPase activity	7/51	403/22849	2.98949340934668e-05	0.000146485177057987	8.6537967112667e-05	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Atp5h	7
green	GO:0042623	ATPase activity, coupled	6/51	306/22849	5.96020504538396e-05	0.000278142902117918	0.000164316429822615	Atp5d/Atp6v1e1/Atp5o/Atp6v1g2/Atp5b/Atp5a1	6
green	GO:0008553	hydrogen-exporting ATPase activity, phosphorylative mechanism	2/51	13/22849	0.000375049864331455	0.00161911893225516	0.000956514943867171	Atp6v1e1/Atp6v1g2	2
green	GO:0051536	iron-sulfur cluster binding	3/51	64/22849	0.000396518922184936	0.00161911893225516	0.000956514943867171	Aco2/Cisd1/Uqcrfs1	3
green	GO:0051540	metal cluster binding	3/51	64/22849	0.000396518922184936	0.00161911893225516	0.000956514943867171	Aco2/Cisd1/Uqcrfs1	3
green	GO:0042288	MHC class I protein binding	2/51	16/22849	0.000574532685068397	0.00225216812546812	0.00133049674436892	Atp5b/Atp5a1	2
green	GO:0016866	intramolecular transferase activity	2/51	25/22849	0.00141800234960105	0.00534477808695781	0.00315749511044769	Pgam1/Pgam2	2
green	GO:0051537	2 iron, 2 sulfur cluster binding	2/51	26/22849	0.0015339802228198	0.00556778006801262	0.00328923634522765	Cisd1/Uqcrfs1	2
green	GO:0042287	MHC protein binding	2/51	30/22849	0.00204150003450195	0.00714525012075682	0.00422114668787997	Atp5b/Atp5a1	2
green	GO:0043531	ADP binding	2/51	36/22849	0.00293149429643587	0.00990642900174881	0.00585234796021681	Atp5a1/Pgk1	2
brown	GO:0070405	ammonium ion binding	7/143	68/22849	2.28693083579421e-07	8.55312132587033e-05	7.10152206904517e-05	Th/Slc6a3/Maoa/Chrna4/Chrna6/Chrnb3/Drd2	7
brown	GO:0004714	transmembrane receptor protein tyrosine kinase activity	6/143	60/22849	2.05036738842644e-06	0.000314798444477425	0.000261372195668	Epha10/Epha5/Ret/Fgfr2/Epha6/Erbb4	6
brown	GO:1901338	catecholamine binding	4/143	16/22849	2.52512121238576e-06	0.000314798444477425	0.000261372195668	Th/Slc6a3/Adrb3/Drd2	4
brown	GO:0030594	neurotransmitter receptor activity	5/143	41/22849	5.5949766548861e-06	0.000523130317231851	0.000434346871892474	Chrna4/Chrna6/Chrnb3/Drd2/Chrm5	5
brown	GO:0019199	transmembrane receptor protein kinase activity	6/143	82/22849	1.28105155126246e-05	0.000883878485367103	0.000733870400178147	Epha10/Epha5/Ret/Fgfr2/Epha6/Erbb4	6
brown	GO:0015464	acetylcholine receptor activity	4/143	24/22849	1.41798687492049e-05	0.000883878485367103	0.000733870400178147	Chrna4/Chrna6/Chrnb3/Chrm5	4
brown	GO:0008144	drug binding	7/143	133/22849	2.09296864338845e-05	0.0011182432466104	0.000928459774134726	Fkbp11/Slc6a3/Slc18a2/Chrna4/Chrna6/Chrnb3/Drd2	7
brown	GO:0035240	dopamine binding	3/143	12/22849	5.0668241947084e-05	0.00236874031102618	0.00196672781241971	Th/Slc6a3/Drd2	3
brown	GO:0005230	extracellular ligand-gated ion channel activity	5/143	69/22849	7.29059407747917e-05	0.0030296468721969	0.00251546813199574	Chrna4/Gabra4/Chrna6/Chrnb3/Chrm5	5
brown	GO:0004889	acetylcholine-activated cation-selective channel activity	3/143	16/22849	0.000126625698049848	0.00430527373369482	0.00357460104542632	Chrna4/Chrna6/Chrnb3	3
brown	GO:0005003	ephrin receptor activity	3/143	16/22849	0.000126625698049848	0.00430527373369482	0.00357460104542632	Epha10/Epha5/Epha6	3
brown	GO:0008188	neuropeptide receptor activity	4/143	43/22849	0.000150172185248016	0.00468036644022983	0.00388603461826006	Ntsr2/Ntsr1/Tacr3/Mchr1	4
