locus	num_genes	num_expressed_either	num_expressed_both	num_homolog	num_no_homolog
ACMSD-TMEM163	17	5	4	9	8
ALAS1	61	16	10	46	15
ANK2	21	3	2	7	14
ATP6V0A1	95	29	17	66	29
BCKDK-STX1B	90	20	8	54	36
BST1	19	3	2	10	9
CCDC62	49	16	11	39	10
COQ7	31	9	8	15	16
CTSB	56	4	3	9	47
DDRGK1	54	13	11	37	17
DLG2	15	4	1	7	8
ELOVL7	16	5	1	7	9
FAM171A1	27	5	2	15	12
FAM47E-SCARB2	33	10	6	22	11
FGF20	18	8	5	12	6
GALC	13	4	1	8	5
GBA-SYT11	84	37	20	57	27
GCH1	29	8	5	16	13
GPNMB	28	5	4	13	15
HLA-DBQ1	160	31	15	92	68
IL1R2	24	4	1	18	6
INPP5F	29	7	6	13	16
ITGA8	27	5	2	15	12
ITPKB	32	7	3	16	16
KRT8P25-APOOP2	17	2	2	7	10
LRRK2	10	4	3	7	3
MAPT	40	8	4	20	20
MCCC1	25	5	3	11	14
MIR4697	14	6	5	11	3
MMP16	9	1	1	2	7
NCKIPSD	75	32	22	51	24
NMD3	20	3	2	10	10
RAB7L1-NUCKS1	42	11	6	31	11
RIT2	6	3	2	3	3
SATB1	8	1	1	3	5
SCN3A	17	5	2	10	7
SH3GL2	10	3	3	4	6
SIPA1L2	15	1	1	6	9
SNCA	11	4	2	7	4
SORBS3	42	10	4	32	10
SPPL2B	80	29	17	65	15
SREBF1-RAI1	67	12	8	26	41
STK39	17	4	2	10	7
TMEM175-GAK-DGKQ	40	11	8	26	14
TMEM229B	24	8	4	15	9
TOX3	14	3	1	4	10
USP25	27	2	1	6	21
VPS13C	11	2	0	5	6
ZNF184	82	2	1	34	48
