Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
yellow	5991307	Signaling by ERBB4	5/25	162/7109	0.000212144043708419	0.0190203240018589	0.0150160452646255	Esr1/Pgr/Foxo1/Ghr/Kl	5
yellow	5991518	GPCR ligand binding	7/25	398/7109	0.000325914607431189	0.0190203240018589	0.0150160452646255	Calcr/Gal/Ghrh/P2ry1/Npy1r/Trhr/Ghsr	7
yellow	5991859	Nuclear Receptor transcription pathway	3/25	50/7109	0.000675290778362677	0.0190203240018589	0.0150160452646255	Esr1/Nr3c1/Pgr	3
yellow	186601	Regulation of gene expression in beta cells	2/25	12/7109	0.000766948548462053	0.0190203240018589	0.0150160452646255	Gck/Foxo1	2
yellow	5991787	Regulation of gene expression in beta cells	2/25	12/7109	0.000766948548462053	0.0190203240018589	0.0150160452646255	Gck/Foxo1	2
yellow	5992116	Nuclear signaling by ERBB4	3/25	64/7109	0.00138962146541265	0.0287188436185282	0.0226727712777854	Esr1/Pgr/Ghr	3
yellow	210774	Regulation of Beta-Cell Development	2/25	23/7109	0.00287111508661873	0.0445022838425903	0.0351333819809924	Gck/Foxo1	2
yellow	5991783	Regulation of beta-cell development	2/25	23/7109	0.00287111508661873	0.0445022838425903	0.0351333819809924	Gck/Foxo1	2
yellow	5991834	Class A/1 (Rhodopsin-like receptors)	5/25	307/7109	0.00378499899961628	0.0521488751058243	0.0411701645572297	Gal/P2ry1/Npy1r/Trhr/Ghsr	5
yellow	5991833	Peptide ligand-binding receptors	4/25	201/7109	0.0049223434750508	0.0610370590906299	0.0481871519136552	Gal/Npy1r/Trhr/Ghsr	4
tan	5991109	Pyrimidine catabolism	1/4	12/7109	0.00673634558154523	0.0916624614812757	0.0466871620447924	Dpyd	1
tan	5991107	Pyrimidine metabolism	1/4	24/7109	0.0134385999466168	0.0916624614812757	0.0466871620447924	Dpyd	1
tan	5992143	Endosomal/Vacuolar pathway	1/4	38/7109	0.0212149628921332	0.0916624614812757	0.0466871620447924	H2-T24	1
tan	5992119	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	1/4	52/7109	0.0289452633336066	0.0916624614812757	0.0466871620447924	H2-T24	1
tan	5991866	Loss of Nlp from mitotic centrosomes	1/4	63/7109	0.0349868753059546	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991867	Loss of proteins required for interphase microtubule organization from the centrosome	1/4	63/7109	0.0349868753059546	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991868	Centrosome maturation	1/4	73/7109	0.0404547453910976	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991870	Recruitment of mitotic centrosome proteins and complexes	1/4	73/7109	0.0404547453910976	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991018	Oxidative Stress Induced Senescence	1/4	78/7109	0.0431799503706318	0.0916624614812757	0.0466871620447924	Cbx2	1
tan	5992309	SUMOylation of DNA damage response and repair proteins	1/4	78/7109	0.0431799503706318	0.0916624614812757	0.0466871620447924	Cbx2	1
tan	5992310	SUMO E3 ligases SUMOylate target proteins	1/4	78/7109	0.0431799503706318	0.0916624614812757	0.0466871620447924	Cbx2	1
tan	5992292	Regulation of PLK1 Activity at G2/M Transition	1/4	82/7109	0.0453559314648477	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991078	Metabolism of nucleotides	1/4	83/7109	0.0458993463323787	0.0916624614812757	0.0466871620447924	Dpyd	1
tan	5992302	SUMOylation	1/4	83/7109	0.0458993463323787	0.0916624614812757	0.0466871620447924	Cbx2	1
tan	5991726	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	1/4	87/7109	0.0480706861604461	0.0916624614812757	0.0466871620447924	H2-T24	1
tan	5992377	Anchoring of the basal body to the plasma membrane	1/4	88/7109	0.0486129415371707	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5991456	G2/M Transition	1/4	100/7109	0.0551019523256235	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5992140	ER-Phagosome pathway	1/4	101/7109	0.0556412007477518	0.0916624614812757	0.0466871620447924	H2-T24	1
tan	5991457	Mitotic G2-G2/M phases	1/4	102/7109	0.0561802183272335	0.0916624614812757	0.0466871620447924	Cntrl	1
tan	5992141	Antigen processing-Cross presentation	1/4	113/7109	0.0620941949244411	0.0924544701616061	0.0470905620517518	H2-T24	1
tan	5992066	Interferon gamma signaling	1/4	114/7109	0.06263044752883	0.0924544701616061	0.0470905620517518	H2-T24	1
tan	5992120	Class I MHC mediated antigen processing & presentation	1/4	128/7109	0.0701138652851588	0.0959372576697891	0.0488644775907245	H2-T24	1
tan	5991011	Cellular Senescence	1/4	130/7109	0.0711792556904887	0.0959372576697891	0.0488644775907245	Cbx2	1
cyan	5991561	Signaling by Wnt	2/7	237/7109	0.0208059345936348	0.0850935381631908	0.0425467690815954	Wnt3/Lef1	2
cyan	210774	Regulation of Beta-Cell Development	1/7	23/7109	0.0224380934264955	0.0850935381631908	0.0425467690815954	Neurod1	1
cyan	5991421	Effects of PIP2 hydrolysis	1/7	23/7109	0.0224380934264955	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991783	Regulation of beta-cell development	1/7	23/7109	0.0224380934264955	0.0850935381631908	0.0425467690815954	Neurod1	1
cyan	5992316	WNT ligand biogenesis and trafficking	1/7	25/7109	0.0243686708592485	0.0850935381631908	0.0425467690815954	Wnt3	1
cyan	5991414	Extracellular matrix organization	2/7	265/7109	0.0256807468673806	0.0850935381631908	0.0425467690815954	Ltbp3/Col11a1	2
cyan	5991183	Inactivation, recovery and regulation of the phototransduction cascade	1/7	27/7109	0.0262959793595092	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991133	The phototransduction cascade	1/7	28/7109	0.027258409201995	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991755	FCERI mediated NF-kB activation	1/7	29/7109	0.0282200235411542	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991559	Ca2+ pathway	1/7	32/7109	0.0310999792962496	0.0850935381631908	0.0425467690815954	Lef1	1
cyan	5991739	Apoptotic cleavage of cellular proteins	1/7	34/7109	0.0330158828328805	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5992205	Molecules associated with elastic fibres	1/7	36/7109	0.0349285381584562	0.0850935381631908	0.0425467690815954	Ltbp3	1
cyan	5991745	formation of the beta-catenin:TCF transactivating complex	1/7	39/7109	0.0377914407913065	0.0850935381631908	0.0425467690815954	Lef1	1
cyan	5991750	Downstream TCR signaling	1/7	39/7109	0.0377914407913065	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991811	ABC-family proteins mediated transport	1/7	40/7109	0.0387441225330974	0.0850935381631908	0.0425467690815954	Abca8b	1
cyan	5992181	Assembly of collagen fibrils and other multimeric structures	1/7	40/7109	0.0387441225330974	0.0850935381631908	0.0425467690815954	Col11a1	1
cyan	5992206	Elastic fibre formation	1/7	40/7109	0.0387441225330974	0.0850935381631908	0.0425467690815954	Ltbp3	1
cyan	5992321	deactivation of the beta-catenin transactivating complex	1/7	40/7109	0.0387441225330974	0.0850935381631908	0.0425467690815954	Lef1	1
cyan	5991838	Netrin-1 signaling	1/7	43/7109	0.0415973183638692	0.0850935381631908	0.0425467690815954	Prkcq	1
cyan	5991517	Class B/2 (Secretin family receptors)	1/7	44/7109	0.0425467690815954	0.0850935381631908	0.0425467690815954	Wnt3	1
cyan	5991740	Apoptotic execution  phase	1/7	47/7109	0.0453902855519307	0.0864576867655823	0.0432288433827911	Prkcq	1
cyan	5991300	Developmental Biology	2/7	387/7109	0.0517415472164091	0.0904296040107733	0.0452148020053866	Prkcq/Neurod1	2
cyan	5991751	TCR signaling	1/7	54/7109	0.0519970223061946	0.0904296040107733	0.0452148020053866	Prkcq	1
cyan	5992212	Collagen biosynthesis and modifying enzymes	1/7	58/7109	0.0557546739759877	0.0922059317493055	0.0461029658746527	Col11a1	1
cyan	5992175	Collagen degradation	1/7	60/7109	0.0576287073433159	0.0922059317493055	0.0461029658746527	Col11a1	1
green	5991046	The citric acid (TCA) cycle and respiratory electron transport	31/45	152/7109	8.9677653865124e-43	5.91872515509818e-41	4.24788886729535e-41	Cox5a/Ndufa11/Gm4943/Atp5d/Cs/Atp5g1/Cox6c/Atp5g3/Mdh2/Uqcr11/Uqcrb/Aco2/Cyc1/Atp5o/LOC102641678/Atp5b/Atp5a1/Ndufa4/Cox4i1/Idh3a/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Csl/Atp5k/Cox5b/LOC102641600/Cycs/Uqcrh	31
green	5991508	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	26/45	115/7109	2.55764650771746e-36	8.44023347546761e-35	6.05758383406766e-35	Cox5a/Ndufa11/Gm4943/Atp5d/Atp5g1/Cox6c/Atp5g3/Uqcr11/Uqcrb/Cyc1/Atp5o/LOC102641678/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Cox5b/LOC102641600/Cycs/Uqcrh	26
