Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
yellow	mmu04080	Neuroactive ligand-receptor interaction	11/29	285/8140	1.57921527016169e-09	1.07386638370995e-07	9.80775799363577e-08	Calcr/Nr3c1/P2ry1/Gabre/Gabrq/Npy1r/Trhr/Grid1/Ghsr/Ghr/Grid2	11
tan	mmu00770	Pantothenate and CoA biosynthesis	1/3	18/8140	0.00662005941638133	0.0696540090474865	0.0349142902493667	Dpyd	1
tan	mmu00410	beta-Alanine metabolism	1/3	33/8140	0.0121144050653369	0.0696540090474865	0.0349142902493667	Dpyd	1
tan	mmu00983	Drug metabolism - other enzymes	1/3	52/8140	0.0190447771857359	0.0696540090474865	0.0349142902493667	Dpyd	1
tan	mmu05330	Allograft rejection	1/3	64/8140	0.0234051101381396	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu05332	Graft-versus-host disease	1/3	65/8140	0.0237678868431405	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu04940	Type I diabetes mellitus	1/3	70/8140	0.0255804228134824	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu05320	Autoimmune thyroid disease	1/3	79/8140	0.0288373313360091	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu04146	Peroxisome	1/3	84/8140	0.0306435850797454	0.0696540090474865	0.0349142902493667	Pex5l	1
tan	mmu05416	Viral myocarditis	1/3	88/8140	0.0320869744812445	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu04612	Antigen processing and presentation	1/3	91/8140	0.0331685757368984	0.0696540090474865	0.0349142902493667	H2-T24	1
tan	mmu00240	Pyrimidine metabolism	1/3	101/8140	0.0367680933827954	0.0701936328217003	0.035184778356742	Dpyd	1
tan	mmu04514	Cell adhesion molecules (CAMs)	1/3	169/8140	0.061008159406417	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu04145	Phagosome	1/3	183/8140	0.0659477356418718	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu04218	Cellular senescence	1/3	186/8140	0.0670039574877126	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu05168	Herpes simplex infection	1/3	215/8140	0.0771730803073207	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu05167	Kaposi's sarcoma-associated herpesvirus infection	1/3	217/8140	0.0778716623590258	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu05169	Epstein-Barr virus infection	1/3	220/8140	0.0789188742623217	0.096543845714682	0.0483929051201414	H2-T24	1
tan	mmu05203	Viral carcinogenesis	1/3	231/8140	0.0827518677554417	0.096543845714682	0.0483929051201414	H2-T24	1
cyan	mmu05217	Basal cell carcinoma	2/7	63/8140	0.0012075064186854	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu04916	Melanogenesis	2/7	100/8140	0.00301431136921972	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu04310	Wnt signaling pathway	2/7	146/8140	0.00632483845416541	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu05224	Breast cancer	2/7	151/8140	0.00675308061796128	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu04390	Hippo signaling pathway	2/7	154/8140	0.00701631186057217	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu05226	Gastric cancer	2/7	154/8140	0.00701631186057217	0.0409284858533377	0.0295423657287249	Wnt3/Lef1	2
cyan	mmu05225	Hepatocellular carcinoma	2/7	170/8140	0.00849898994078936	0.0424949497039468	0.0306730464028488	Wnt3/Lef1	2
green	mmu00190	Oxidative phosphorylation	25/44	134/8140	2.70320107819927e-34	1.73004869004753e-32	1.30891841681228e-32	Cox5a/Ndufa11/Gm4943/Atp5d/Atp5g1/Cox6c/Atp5g3/Atp6v1e1/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp6v1g2/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Atp5k/Cox5b/Uqcrh	25
green	mmu05012	Parkinson's disease	24/44	144/8140	1.58547518283562e-31	5.07352058507397e-30	3.83851886370728e-30	Cox5a/Ndufa11/Gm4943/Atp5d/Atp5g1/Cox6c/Slc25a5/Atp5g3/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Cox5b/Cycs/Uqcrh	24
green	mmu05016	Huntington's disease	24/44	194/8140	3.10270566416825e-28	6.61910541689226e-27	5.00787580883296e-27	Cox5a/Ndufa11/Gm4943/Atp5d/Atp5g1/Cox6c/Slc25a5/Atp5g3/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Cox5b/Cycs/Uqcrh	24
green	mmu05010	Alzheimer's disease	23/44	175/8140	1.38304651342866e-27	2.21287442148586e-26	1.67421420046628e-26	Cox5a/Ndufa11/Gm4943/Atp5d/Atp5g1/Cox6c/Atp5g3/Uqcr11/Uqcrb/Cyc1/Atp5o/Atp5b/Atp5a1/Ndufa4/Cox4i1/Atp5h/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Cox5b/Cycs/Uqcrh	23
green	mmu04932	Non-alcoholic fatty liver disease (NAFLD)	16/44	151/8140	2.3466668775892e-17	3.00373360331418e-16	2.2725616077706e-16	Cox5a/Ndufa11/Gm4943/Cox6c/Uqcr11/Uqcrb/Cyc1/Ndufa4/Cox4i1/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Cox5b/Cycs/Uqcrh	16
green	mmu04260	Cardiac muscle contraction	12/44	78/8140	4.10757407519188e-15	4.38141234687133e-14	3.31488434138292e-14	Cox5a/Cox6c/Uqcr11/Uqcrb/Cyc1/Cox4i1/Cox8a/Cox6b1/Uqcrfs1/Uqcrq/Cox5b/Uqcrh	12
green	mmu01230	Biosynthesis of amino acids	10/44	77/8140	6.0209457843134e-12	5.50486471708653e-11	4.16486475305889e-11	Eno2/Cs/Pgam1/Pgam2/Aco2/Tpi1/Idh3a/Csl/Aldoart1/Pgk1	10
green	mmu01200	Carbon metabolism	11/44	120/8140	2.28757628294148e-11	1.83006102635319e-10	1.38458564493827e-10	Eno2/Cs/Pgam1/Mdh2/Pgam2/Aco2/Tpi1/Idh3a/Csl/Aldoart1/Pgk1	11
green	mmu00020	Citrate cycle (TCA cycle)	5/44	32/8140	6.59933212682708e-07	4.69285840129926e-06	3.55051786940404e-06	Cs/Mdh2/Aco2/Idh3a/Csl	5
