HumanSymbol	MouseSymbol
ACADM	Acadm
ACADVL	Acadvl
ACAT1	Acat1
ACVR1	Acvr1
SGCA	Sgca
ADSL	Adsl
AGA	Aga
AGT	Agt
ALAD	Alad
ALAS2	Alas2
AMPD1	Ampd1
APOH	Apoh
FAS	Fas
AR	Ar
ARG1	Arg1
ASL	Asl
ASPA	Aspa
ATP7A	Atp7a
BCKDHB	Bckdhb
BRCA2	Brca2
SERPING1	Serping1
C2	C2
C6	C6
C8B	C8b
CAPN3	Capn3
CD3G	Cd3g
CD40LG	Cd40lg
CHRNA1	Chrna1
CHRNE	Chrne
LYST	Lyst
ERCC8	Ercc8
CLCN1	Clcn1
CLCNKB	Clcnka
COL1A2	Col1a2
COL7A1	Col7a1
COMP	Comp
CP	Cp
CPOX	Cpox
CPT2	Cpt2
CST3	Cst3
CSTB	Cstb
CYBA	Cyba
DDB2	Ddb2
DLD	Dld
DPYD	Dpyd
EDN3	Edn3
EDNRB	Ednrb
EMD	Emd
ENG	Eng
EPB42	Epb42
EPHX1	Ephx1
EPOR	Epor
ERCC3	Ercc3
ETFA	Etfa
F5	F5
F9	F9
FABP2	Fabp2
FANCA	Fanca
FANCC	Fancc
FAH	Fah
MS4A2	Ms4a2
FECH	Fech
FH	Fh1
FSHR	Fshr
FUCA2	Fuca2
FUT1	Fut1
GALC	Galc
GALK1	Galk1
GALT	Galt
GBE1	Gbe1
GCDH	Gcdh
GCGR	Gcgr
GCH1	Gch1
GHR	Ghr
GJA1	Gja1
GJB1	Gjb1
GLI3	Gli3
GLDC	Gldc
GLRA3	Glra3
GP1BA	Gp1ba
GP9	Gp9
GPI	Gpi1
GSN	Gsn
GSS	Gss
MSH6	Msh6
HADHA	Hadha
HADHB	Hadhb
HGD	Hgd
HMBS	Hmbs
HMGCL	Hmgcl
TBX5	Tbx5
HPS1	Hps1
SGSH	Sgsh
ICAM1	Icam1
IDS	Ids
IDUA	Idua
CFI	Cfi
IL2RG	Il2rg
INS	Ins2
PDX1	Pdx1
ITGB4	Itgb4
JAG1	Jag1
JAK3	Jak3
KCNA1	Kcna1
KCNE1B	Kcne1
KIT	Kit
KRT12	Krt12
LAMB3	Lamb3
LEP	Lep
SGCG	Sgcg
SGCB	Sgcb
LIG1	Lig1
LIPC	Lipc
LPL	Lpl
KCNH2	Kcnh2
MAOA	Maoa
MET	Met
CIITA	Ciita
MLH1	Mlh1
MSH2	Msh2
MTTP	Mttp
MYBPC3	Mybpc3
MYO7A	Myo7a
MYOC	Myoc
NAGA	Naga
NAGLU	Naglu
PTCH1	Ptch1
NDP	Ndp
NF1	Nf1
NPC1	Npc1
NPHP1	Nphp1
GPR143	Gpr143
OAT	Oat
OCRL	Ocrl
PAH	Pah
PCCA	Pcca
PDE6B	Pde6b
PEPD	Pepd
PEX12	Pex12
PEX7	Pex7
PHKA2	Phka2
PHKB	Phkb
PKD1	Pkd1
PKP1	Pkp1
PLOD1	Plod1
PMM2	Pmm2
POU1F1	Pou1f1
POU3F4	Pou3f4
PPOX	Ppox
PROS1	Pros1
PTEN	Pten
PTH	Pth
PTH1R	Pth1r
PTS	Pts
PEX2	Pex2
PEX5	Pex5
QDPR	Qdpr
RB1	Rb1
PRPH2	Prph2
ROM1	Rom1
RS1	Rs1
ATXN1	Atxn1
SCN4A	Scn4a
SGCD	Sgcd
SLC12A1	Slc12a1
SLC12A3	Slc12a3
SNCA	Snca
SOX9	Sox9
SPTB	Sptb
STAR	Star
ABCA4	Abca4
TCN2	Tcn2
TGM1	Tgm1
TH	Th
THBD	Thbd
TNNI3	Tnni3
TPMT	Tpmt
TSC1	Tsc1
TSHR	Tshr
TTR	Ttr
UMPS	Umps
UROD	Urod
XDH	Xdh
AIRE	Aire
APOB	Apob
BLMH	Blmh
SLC25A20	Slc25a20
CASR	Casr
CDKN1A	Cdkn1a
CHM	Chm
TPP1	Tpp1
ERCC2	Ercc2
EXT2	Ext2
GALE	Gale
GM2A	Gm2a
GNRHR	Gnrhr
GPD2	Gpd2
GUCA1A	Guca1a
HSD17B4	Hsd17b4
IFNGR1	Ifngr1
IL2RA	Il2ra
KEL	Kel
KRT17	Krt17
LTBP2	Ltbp2
