HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol	expression	lin.exprs	specific	co.reg	diff	score	pLI	score.pLI
BNC2	9	rs13294100	SH3GL2	protein_coding	Bnc2	1	1	1	1	1	5	0.999465645265111	5.999
GCH1	14	rs11158026	GCH1	protein_coding	Gch1	1	1	1	1	1	5	0.942485932944866	5.942
KCNN3	1	rs35749011	GBA-SYT11	protein_coding	Kcnn3	1	1	1	1	1	5	0.864940881345047	5.865
FAM167A	8	rs2740594	CTSB	protein_coding	Fam167a	1	1	1	1	1	5	0.000192997889999534	5
SH3GL2	9	rs13294100	SH3GL2	protein_coding	Sh3gl2	1	1	0	1	1	4	0.916295307104429	4.916
SNCA	4	rs356182	SNCA	protein_coding	Snca	1	1	0	1	1	4	0.841962359247494	4.842
ATP6V1G2	6	rs9275326	HLA-DBQ1	protein_coding	Atp6v1g2	1	1	0	1	1	4	0.224789736223208	4.225
PDZRN4	12	rs76904798	LRRK2	protein_coding	Pdzrn4	1	1	0	1	1	4	0.0708527732027404	4.071
UQCR11	19	rs62120679	SPPL2B	protein_coding	Uqcr11	1	1	0	1	1	4	0.0305034614325173	4.031
SYT17	16	rs11343	COQ7	protein_coding	Syt17	1	1	0	1	1	4	0.0236363497033387	4.024
ANK2	4	rs78738012	ANK2	protein_coding	Ank2	1	1	0	0	1	3	0.999999999999808	4
APC2	19	rs62120679	SPPL2B	protein_coding	Apc2	1	1	0	0	1	3	0.999980518341102	4
ATRN	20	rs8118008	DDRGK1	protein_coding	Atrn	1	1	0	0	1	3	0.999999975840269	4
CNTN1	12	rs76904798	LRRK2	protein_coding	Cntn1	1	1	0	0	1	3	0.999989199613199	4
CTSB	8	rs2740594	CTSB	protein_coding	Ctsb	1	1	0	1	1	4	0	4
DNAJC7	17	rs601999	ATP6V0A1	protein_coding	Dnajc7	1	1	0	0	1	3	0.999727953382784	4
SCN3A	2	rs353116	SCN3A	protein_coding	Scn3a	1	1	0	0	1	3	0.999999992847256	4
SMARCC1	3	rs12497850	NCKIPSD	protein_coding	Smarcc1	1	1	0	0	1	3	0.999999593393603	4
STK39	2	rs1474055	STK39	protein_coding	Stk39	1	1	0	0	1	3	0.999462431417641	3.999
DDX39B	6	rs9275326	HLA-DBQ1	protein_coding	Ddx39b	1	1	0	0	1	3	0.997728044454765	3.998
FZR1	19	rs62120679	SPPL2B	protein_coding	Fzr1	1	1	0	0	1	3	0.99794752523794	3.998
RAPGEF5	7	rs199347	GPNMB	protein_coding	Rapgef5	1	1	0	0	1	3	0.997815952976676	3.998
ATP6V0A1	17	rs601999	ATP6V0A1	protein_coding	Atp6v0a1	1	1	0	0	1	3	0.997249734540438	3.997
ACLY	17	rs601999	ATP6V0A1	protein_coding	Acly	1	1	0	0	1	3	0.996414980364678	3.996
TOX3	16	rs4784227	TOX3	protein_coding	Tox3	0	1	0	1	1	3	0.99433910835596	3.994
COPS3	17	rs11868035	SREBF1-RAI1	protein_coding	Cops3	1	1	0	0	1	3	0.992904074102341	3.993
CPEB2	4	rs11724635	BST1	protein_coding	Cpeb2	1	1	0	0	1	3	0.992723048645125	3.993
ABHD16A	6	rs9275326	HLA-DBQ1	protein_coding	Abhd16a	1	1	0	0	1	3	0.988882578133094	3.989
PSME3	17	rs601999	ATP6V0A1	protein_coding	Psme3	1	1	0	0	1	3	0.988103823358922	3.988
FAM171A1	10	rs10906923	FAM171A1	protein_coding	Fam171a1	1	1	0	0	1	3	0.987016297989282	3.987
FAM171A1	10	rs7077361	ITGA8	protein_coding	Fam171a1	1	1	0	0	1	3	0.987016297989282	3.987
G3BP2	4	rs6812193	FAM47E-SCARB2	protein_coding	G3bp2	1	1	0	0	1	3	0.983145417305228	3.983
PRKAR2A	3	rs12497850	NCKIPSD	protein_coding	Prkar2a	1	1	0	0	1	3	0.983250575891508	3.983
CHMP7	8	rs2280104	SORBS3	protein_coding	Chmp7	1	1	0	0	1	3	0.980739996928141	3.981
NOP56	20	rs8118008	DDRGK1	protein_coding	Nop56	1	1	0	0	1	3	0.973256819691124	3.973
TSNAX	1	rs10797576	SIPA1L2	protein_coding	Tsnax	1	1	0	0	1	3	0.972037851150335	3.972
DMTN	8	rs2280104	SORBS3	protein_coding	Dmtn	1	1	0	0	1	3	0.961762589977884	3.962
RPS18	6	rs9275326	HLA-DBQ1	protein_coding	Rps18	1	1	0	0	1	3	0.962013320594563	3.962
RUSC1	1	rs35749011	GBA-SYT11	protein_coding	Rusc1	1	1	0	0	1	3	0.949429117518656	3.949
CSNK2B	6	rs9275326	HLA-DBQ1	protein_coding	Csnk2b	1	1	0	0	1	3	0.943856699084629	3.944
MMP16	8	rs60298754	MMP16	protein_coding	Mmp16	1	1	0	0	1	3	0.916974083764173	3.917
CNP	17	rs601999	ATP6V0A1	protein_coding	Cnp	1	1	0	0	1	3	0.890888252106868	3.891
MAEA	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Maea	1	1	0	0	1	3	0.844858361058156	3.845
CNIH1	14	rs11158026	GCH1	protein_coding	Cnih1	1	1	0	0	1	3	0.843993720425153	3.844
RPS15A	16	rs11343	COQ7	protein_coding	Rps15a	1	1	0	0	1	3	0.833355704516176	3.833
CSRNP3	2	rs353116	SCN3A	protein_coding	Csrnp3	1	1	0	0	1	3	0.832452929930476	3.832
RPL27	17	rs601999	ATP6V0A1	protein_coding	Rpl27	1	1	0	0	1	3	0.822384681492307	3.822
SSR2	1	rs35749011	GBA-SYT11	protein_coding	Ssr2	1	1	0	0	1	3	0.822108921079836	3.822
NISCH	3	rs143918452	ALAS1	protein_coding	Nisch	1	1	0	0	1	3	0.817101389344283	3.817
RHOA	3	rs12497850	NCKIPSD	protein_coding	Rhoa	1	1	0	0	1	3	0.804697934205436	3.805
SYT11	1	rs35749011	GBA-SYT11	protein_coding	Syt11	1	1	0	0	1	3	0.801740134718319	3.802
CPLX1	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Cplx1	1	1	0	0	1	3	0.795789957123327	3.796
CRHR1	17	rs17649553	MAPT	protein_coding	Crhr1	1	1	0	0	1	3	0.792134286397601	3.792
CCNI	4	rs6812193	FAM47E-SCARB2	protein_coding	Ccni	1	1	0	0	1	3	0.789094042870787	3.789
AKTIP	16	rs4784227	TOX3	protein_coding	Aktip	1	1	0	0	1	3	0.788012645511726	3.788
NDUFS7	19	rs62120679	SPPL2B	protein_coding	Ndufs7	1	1	0	0	1	3	0.750835828529347	3.751
CHRNB2	1	rs35749011	GBA-SYT11	protein_coding	Chrnb2	1	1	0	0	1	3	0.720254345017317	3.72
NSF	17	rs17649553	MAPT	protein_coding	Nsf	1	1	0	0	1	3	0.713682130183303	3.714
FGF20	8	rs591323	FGF20	protein_coding	Fgf20	1	0	1	0	1	3	0.702854984376326	3.703
RPS15	19	rs62120679	SPPL2B	protein_coding	Rps15	1	1	0	0	1	3	0.697325164941198	3.697
HLA-DMA	6	rs9275326	HLA-DBQ1	protein_coding	H2-DMa	1	0	1	0	1	3	0.687977633420569	3.688
RIT1	1	rs35749011	GBA-SYT11	protein_coding	Rit1	1	1	0	0	1	3	0.666809792340233	3.667
AES	19	rs62120679	SPPL2B	protein_coding	Aes	1	1	0	0	1	3	0.650716677191199	3.651
OPCML	11	rs329648	MIR4697	protein_coding	Opcml	1	1	0	0	1	3	0.578155981232135	3.578
LAMTOR2	1	rs35749011	GBA-SYT11	protein_coding	Lamtor2	1	1	0	0	1	3	0.481086311682732	3.481
MAPK3	16	rs14235	BCKDK-STX1B	protein_coding	Mapk3	1	1	0	0	1	3	0.409692328374644	3.41
B3GALT1	2	rs1474055	STK39	protein_coding	B3galt1	1	1	0	0	1	3	0.329724363511517	3.33
GMFB	14	rs11158026	GCH1	protein_coding	Gmfb	1	1	0	0	1	3	0.323144112210257	3.323
LSM7	19	rs62120679	SPPL2B	protein_coding	Lsm7	1	1	0	0	1	3	0.281731306604913	3.282
NICN1	3	rs12497850	NCKIPSD	protein_coding	Nicn1	1	1	0	0	1	3	0.257245528868092	3.257
B3GALNT1	3	rs34016896	NMD3	protein_coding	B3galnt1	1	1	0	0	1	3	0.248006524456185	3.248
PCBP4	3	rs143918452	ALAS1	protein_coding	Pcbp4	1	1	0	0	1	3	0.233370935826447	3.233
PRDX3	10	rs117896735	INPP5F	protein_coding	Prdx3	1	1	0	0	1	3	0.221688705653951	3.222
LRRN2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Lrrn2	1	1	0	0	1	3	0.220781250034657	3.221
VTI1B	14	rs1555399	TMEM229B	protein_coding	Vti1b	1	1	0	0	1	3	0.209578768555067	3.21
ATP5I	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Atp5k	1	1	0	1	0	3	0.207299098398329	3.207
TPM3	1	rs35749011	GBA-SYT11	protein_coding	Tpm3	1	1	0	0	1	3	0.191983984043152	3.192
MRPS26	20	rs8118008	DDRGK1	protein_coding	Mrps26	1	1	0	0	1	3	0.187857587540762	3.188
NANOS1	10	rs117896735	INPP5F	protein_coding	Nanos1	1	1	0	0	1	3	0.180809141007575	3.181
C1orf43	1	rs35749011	GBA-SYT11	protein_coding	4933434E20Rik	1	1	0	0	1	3	0.173985957447014	3.174
UQCRC1	3	rs12497850	NCKIPSD	protein_coding	Uqcrc1	1	1	0	0	1	3	0.132467103146211	3.132
SYT4	18	rs12456492	RIT2	protein_coding	Syt4	1	1	0	0	1	3	0.12760475421924	3.128
SPCS1	3	rs143918452	ALAS1	protein_coding	Spcs1	1	1	0	0	1	3	0.118910837533606	3.119
VKORC1	16	rs14235	BCKDK-STX1B	protein_coding	Vkorc1	1	1	0	0	1	3	0.0818030758329219	3.082
RIT2	18	rs12456492	RIT2	protein_coding	Rit2	1	1	0	0	1	3	0.0600485284509002	3.06
UQCC2	6	rs9275326	HLA-DBQ1	protein_coding	Uqcc2	1	1	0	0	1	3	0.0595477327271092	3.06
ABHD17A	19	rs62120679	SPPL2B	protein_coding	Abhd17a	1	1	0	0	1	3	0.0505568745094196	3.051
KRTCAP2	1	rs35749011	GBA-SYT11	protein_coding	Krtcap2	1	1	0	0	1	3	0.0299704903065574	3.03
C20orf27	20	rs8118008	DDRGK1	protein_coding	1700037H04Rik	1	1	0	0	1	3	0.0270989162488399	3.027
DOHH	19	rs62120679	SPPL2B	protein_coding	Dohh	1	1	0	0	1	3	0.0201020241741167	3.02
VAT1	17	rs601999	ATP6V0A1	protein_coding	Vat1	1	1	0	0	1	3	0.0199560134236148	3.02
CAMK2D	4	rs78738012	ANK2	protein_coding	Camk2d	1	1	0	0	1	3	0.016661668817136	3.017
