HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
AARSD1	17	rs601999	ATP6V0A1	protein_coding	Aarsd1
ABCA11P	4	rs34311866	TMEM175-GAK-DGKQ	transcribed_processed_pseudogene	NA
ABCB11	2	rs1474055	STK39	protein_coding	Abcb11
ABCB9	12	rs11060180	CCDC62	protein_coding	Abcb9
ABCC13	21	rs2823357	USP25	transcribed_unprocessed_pseudogene	NA
ABCC5	3	rs12637471	MCCC1	protein_coding	Abcc5
ABCC5-AS1	3	rs12637471	MCCC1	antisense	NA
ABCC6P1	16	rs11343	COQ7	transcribed_unprocessed_pseudogene	NA
ABCD2	12	rs76904798	LRRK2	protein_coding	Abcd2
ABCF2P1	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
ABHD14A	3	rs143918452	ALAS1	protein_coding	Abhd14a
ABHD14B	3	rs143918452	ALAS1	protein_coding	Abhd14b
ABHD16A	6	rs9275326	HLA-DBQ1	protein_coding	Abhd16a
ABHD17A	19	rs62120679	SPPL2B	protein_coding	Abhd17a
ABI1P1	14	rs11158026	GCH1	unprocessed_pseudogene	NA
ACAD8	11	rs329648	MIR4697	protein_coding	Acad8
ACBD3	1	rs4653767	ITPKB	protein_coding	Acbd3
ACBD4	17	rs17649553	MAPT	protein_coding	Acbd4
ACBD7	10	rs7077361	ITGA8	protein_coding	Acbd7
ACBD7	10	rs10906923	FAM171A1	protein_coding	Acbd7
ACLY	17	rs601999	ATP6V0A1	protein_coding	Acly
ACMSD	2	rs6430538	ACMSD-TMEM163	protein_coding	Acmsd
ACTG1P24	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
ACY1	3	rs143918452	ALAS1	protein_coding	Acy1
ADAM15	1	rs35749011	GBA-SYT11	protein_coding	Adam15
ADAM24P	8	rs591323	FGF20	unitary_pseudogene	NA
ADAM33	20	rs8118008	DDRGK1	protein_coding	Adam33
ADAMTSL1	9	rs13294100	SH3GL2	protein_coding	Adamtsl1
ADAMTSL5	19	rs62120679	SPPL2B	protein_coding	Adamtsl5
ADAR	1	rs35749011	GBA-SYT11	protein_coding	Adar
ADAT3	19	rs62120679	SPPL2B	protein_coding	Adat3
AES	19	rs62120679	SPPL2B	protein_coding	Aes
AGER	6	rs9275326	HLA-DBQ1	protein_coding	Ager
AGPAT1	6	rs9275326	HLA-DBQ1	protein_coding	Agpat1
AIF1	6	rs9275326	HLA-DBQ1	protein_coding	Aif1
AK3P3	7	rs199347	GPNMB	processed_pseudogene	NA
AKTIP	16	rs4784227	TOX3	protein_coding	Aktip
ALAS1	3	rs143918452	ALAS1	protein_coding	Alas1
ALDOAP1	3	rs143918452	ALAS1	processed_pseudogene	NA
ALG1L11P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
ALG1L12P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
ALKBH5	17	rs11868035	SREBF1-RAI1	protein_coding	Alkbh5
ALPK1	4	rs78738012	ANK2	protein_coding	Alpk1
AMH	19	rs62120679	SPPL2B	protein_coding	Amh
AMT	3	rs12497850	NCKIPSD	protein_coding	Amt
ANKRD20A18P	21	rs2823357	USP25	unprocessed_pseudogene	NA
ANKRD42	11	rs3793947	DLG2	protein_coding	Ankrd42
AOC2	17	rs601999	ATP6V0A1	protein_coding	Aoc2
AOC3	17	rs601999	ATP6V0A1	protein_coding	Aoc3
AOC4P	17	rs601999	ATP6V0A1	transcribed_unprocessed_pseudogene	NA
AP3D1	19	rs62120679	SPPL2B	protein_coding	Ap3d1
AP5S1	20	rs8118008	DDRGK1	protein_coding	Ap5s1
APC2	19	rs62120679	SPPL2B	protein_coding	Apc2
APEH	3	rs12497850	NCKIPSD	protein_coding	Apeh
APOM	6	rs9275326	HLA-DBQ1	protein_coding	Apom
APOOP2	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
ARG2	14	rs1555399	TMEM229B	protein_coding	Arg2
ARHGAP27	17	rs17649553	MAPT	protein_coding	Arhgap27
ARHGEF2	1	rs35749011	GBA-SYT11	protein_coding	Arhgef2
ARIH2	3	rs12497850	NCKIPSD	protein_coding	Arih2
ARL14	3	rs34016896	NMD3	protein_coding	Arl14
ARL4D	17	rs601999	ATP6V0A1	protein_coding	Arl4d
ARL6IP1	16	rs11343	COQ7	protein_coding	Arl6ip1
ARL6IP4	12	rs11060180	CCDC62	protein_coding	Arl6ip4
ARMC5	16	rs14235	BCKDK-STX1B	protein_coding	Armc5
ARSJ	4	rs78738012	ANK2	protein_coding	Arsj
ART3	4	rs6812193	FAM47E-SCARB2	protein_coding	Art3
ASH1L	1	rs35749011	GBA-SYT11	protein_coding	Ash1l
ASH1L-AS1	1	rs35749011	GBA-SYT11	antisense	NA
ASH1L-IT1	1	rs35749011	GBA-SYT11	sense_intronic	NA
ATF6B	6	rs9275326	HLA-DBQ1	protein_coding	Atf6b
ATG14	14	rs11158026	GCH1	protein_coding	Atg14
ATP11B	3	rs12637471	MCCC1	protein_coding	Atp11b
ATP5C1P1	14	rs11158026	GCH1	processed_pseudogene	NA
ATP5LP7	17	rs601999	ATP6V0A1	processed_pseudogene	NA
ATP6V0A1	17	rs601999	ATP6V0A1	protein_coding	Atp6v0a1
ATP6V0A2	12	rs11060180	CCDC62	protein_coding	Atp6v0a2
ATP6V1D	14	rs1555399	TMEM229B	protein_coding	Atp6v1d
ATP6V1G2	6	rs9275326	HLA-DBQ1	protein_coding	Atp6v1g2
ATP8B2	1	rs35749011	GBA-SYT11	protein_coding	Atp8b2
ATP8B3	19	rs62120679	SPPL2B	protein_coding	Atp8b3
ATPAF2	17	rs11868035	SREBF1-RAI1	protein_coding	Atpaf2
ATRIP	3	rs12497850	NCKIPSD	protein_coding	Atrip
ATRN	20	rs8118008	DDRGK1	protein_coding	Atrn
AVP	20	rs8118008	DDRGK1	protein_coding	Avp
AVPR1B	1	rs823118	RAB7L1-NUCKS1	protein_coding	Avpr1b
B3GALNT1	3	rs34016896	NMD3	protein_coding	B3galnt1
B3GALT1	2	rs1474055	STK39	protein_coding	B3galt1
B3GALT4	6	rs9275326	HLA-DBQ1	protein_coding	B3galt4
B3GAT1	11	rs329648	MIR4697	protein_coding	B3gat1
B3GAT3P1	3	rs34016896	NMD3	processed_pseudogene	NA
B3GNT4	12	rs11060180	CCDC62	protein_coding	B3gnt4
B3GNT5	3	rs12637471	MCCC1	protein_coding	B3gnt5
BAG3	10	rs117896735	INPP5F	protein_coding	Bag3
BAG6	6	rs9275326	HLA-DBQ1	protein_coding	Bag6
BAK1	6	rs9275326	HLA-DBQ1	protein_coding	Bak1
BAP1	3	rs143918452	ALAS1	protein_coding	Bap1
BCAS2P1	11	rs3793947	DLG2	processed_pseudogene	NA
BCKDK	16	rs14235	BCKDK-STX1B	protein_coding	Bckdk
BCL7A	12	rs11060180	CCDC62	protein_coding	Bcl7a
BCL7C	16	rs14235	BCKDK-STX1B	protein_coding	Bcl7c
BECN1	17	rs601999	ATP6V0A1	protein_coding	Becn1
BIN3	8	rs2280104	SORBS3	protein_coding	Bin3
BLACAT1	1	rs823118	RAB7L1-NUCKS1	lincRNA	NA
BLK	8	rs2740594	CTSB	protein_coding	Blk
BMP1	8	rs2280104	SORBS3	protein_coding	Bmp1
BMP4	14	rs11158026	GCH1	protein_coding	Bmp4
BNC2	9	rs13294100	SH3GL2	protein_coding	Bnc2
BNIP3P41	4	rs34311866	TMEM175-GAK-DGKQ	transcribed_processed_pseudogene	NA
BRCA1	17	rs601999	ATP6V0A1	protein_coding	Brca1
BRD2	6	rs9275326	HLA-DBQ1	protein_coding	Brd2
BRD2-IT1	6	rs9275326	HLA-DBQ1	sense_intronic	NA
BSN	3	rs12497850	NCKIPSD	protein_coding	Bsn
BSN-AS1	3	rs12497850	NCKIPSD	antisense	NA
BSN-AS2	3	rs12497850	NCKIPSD	lincRNA	NA
BST1	4	rs11724635	BST1	protein_coding	Bst1
BTBD2	19	rs62120679	SPPL2B	protein_coding	Btbd2
BTF3P9	1	rs4653767	ITPKB	processed_pseudogene	NA
BTNL2	6	rs9275326	HLA-DBQ1	protein_coding	Btnl2
C10orf111	10	rs10906923	FAM171A1	antisense	NA
C10orf111	10	rs7077361	ITGA8	antisense	NA
C12orf65	12	rs11060180	CCDC62	protein_coding	2810006K23Rik
C16orf58	16	rs14235	BCKDK-STX1B	protein_coding	BC017158
C16orf62	16	rs11343	COQ7	protein_coding	9030624J02Rik
C16orf97	16	rs4784227	TOX3	processed_transcript	NA
C19orf25	19	rs62120679	SPPL2B	protein_coding	2310011J03Rik
C19orf71	19	rs62120679	SPPL2B	protein_coding	4930404N11Rik
C1DP5	11	rs3793947	DLG2	processed_pseudogene	NA
C1orf147	1	rs823118	RAB7L1-NUCKS1	antisense	NA
C1orf189	1	rs35749011	GBA-SYT11	protein_coding	1700094D03Rik
C1orf43	1	rs35749011	GBA-SYT11	protein_coding	4933434E20Rik
C1QL1	17	rs17649553	MAPT	protein_coding	C1ql1
C1QL3	10	rs7077361	ITGA8	protein_coding	C1ql3
C1QL3	10	rs10906923	FAM171A1	protein_coding	C1ql3
C1QTNF7	4	rs11724635	BST1	protein_coding	C1qtnf7
C2	6	rs9275326	HLA-DBQ1	protein_coding	C2
C2-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
C20orf141	20	rs8118008	DDRGK1	protein_coding	1700020A23Rik
C20orf194	20	rs8118008	DDRGK1	protein_coding	4930402H24Rik
C20orf27	20	rs8118008	DDRGK1	protein_coding	1700037H04Rik
C2CD4A	15	rs2414739	VPS13C	protein_coding	C2cd4a
C2CD4B	15	rs2414739	VPS13C	protein_coding	C2cd4b
C3orf38	3	rs115185635	KRT8P25-APOOP2	protein_coding	4930453N24Rik
C3orf62	3	rs12497850	NCKIPSD	protein_coding	1700102P08Rik
C3orf84	3	rs12497850	NCKIPSD	protein_coding	BC048562
C4A-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
C4B-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
C4orf26	4	rs6812193	FAM47E-SCARB2	protein_coding	Gm1045
C5orf64	5	rs2694528	ELOVL7	processed_transcript	NA
C6orf47	6	rs9275326	HLA-DBQ1	protein_coding	D17H6S53E
C6orf47-AS1	6	rs9275326	HLA-DBQ1	antisense	NA
C8orf49	8	rs2740594	CTSB	lincRNA	NA
C8orf58	8	rs2280104	SORBS3	protein_coding	9930012K11Rik
CAB39P1	5	rs2694528	ELOVL7	processed_pseudogene	NA
CACNA1D	3	rs143918452	ALAS1	protein_coding	Cacna1d
CACTIN	19	rs62120679	SPPL2B	protein_coding	Cactin
CACTIN-AS1	19	rs62120679	SPPL2B	antisense	NA
CAMK2D	4	rs78738012	ANK2	protein_coding	Camk2d
CAMP	3	rs12497850	NCKIPSD	protein_coding	Camp
CASC16	16	rs4784227	TOX3	lincRNA	NA
CASC22	16	rs4784227	TOX3	lincRNA	NA
CBX5P1	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
CC2D2A	4	rs11724635	BST1	protein_coding	Cc2d2a
CCAR2	8	rs2280104	SORBS3	protein_coding	Ccar2
CCDC126	7	rs199347	GPNMB	protein_coding	Ccdc126
CCDC144B	17	rs11868035	SREBF1-RAI1	transcribed_unprocessed_pseudogene	NA
CCDC150P1	12	rs11060180	CCDC62	processed_pseudogene	NA
CCDC158	4	rs6812193	FAM47E-SCARB2	protein_coding	Ccdc158
CCDC189	16	rs14235	BCKDK-STX1B	protein_coding	Ccdc189
CCDC36	3	rs12497850	NCKIPSD	protein_coding	Ccdc36
CCDC51	3	rs12497850	NCKIPSD	protein_coding	Ccdc51
CCDC62	12	rs11060180	CCDC62	protein_coding	Ccdc62
CCDC90B	11	rs3793947	DLG2	protein_coding	Ccdc90b
CCNG2	4	rs6812193	FAM47E-SCARB2	protein_coding	Ccng2
CCNI	4	rs6812193	FAM47E-SCARB2	protein_coding	Ccni
CCNT2	2	rs6430538	ACMSD-TMEM163	protein_coding	Ccnt2
CCNT2-AS1	2	rs6430538	ACMSD-TMEM163	antisense	NA
CCP110	16	rs11343	COQ7	protein_coding	Ccp110
CCR10	17	rs601999	ATP6V0A1	protein_coding	Ccr10
CCSER1	4	rs356182	SNCA	protein_coding	Ccser1
CD2BP2	16	rs14235	BCKDK-STX1B	protein_coding	Cd2bp2
CD38	4	rs11724635	BST1	protein_coding	Cd38
CD83P1	6	rs9468199	ZNF184	processed_pseudogene	NA
CDC25A	3	rs12497850	NCKIPSD	protein_coding	Cdc25a
CDC25B	20	rs8118008	DDRGK1	protein_coding	Cdc25b
CDC42BPA	1	rs4653767	ITPKB	protein_coding	Cdc42bpa
CDK18	1	rs823118	RAB7L1-NUCKS1	protein_coding	Cdk18
CDK2AP1	12	rs11060180	CCDC62	protein_coding	Cdk2ap1
CDKL2	4	rs6812193	FAM47E-SCARB2	protein_coding	Cdkl2
CDKN2AIPNLP1	1	rs4653767	ITPKB	processed_pseudogene	NA
CDKN3	14	rs11158026	GCH1	protein_coding	Cdkn3
CDNF	10	rs10906923	FAM171A1	protein_coding	Cdnf
CDNF	10	rs7077361	ITGA8	protein_coding	Cdnf
CELF5	19	rs62120679	SPPL2B	protein_coding	Celf5
CELSR3	3	rs12497850	NCKIPSD	protein_coding	Celsr3
CELSR3-AS1	3	rs12497850	NCKIPSD	antisense	NA
CENPB	20	rs8118008	DDRGK1	protein_coding	Cenpb
CERS6	2	rs1474055	STK39	protein_coding	Cers6
CERS6-AS1	2	rs1474055	STK39	processed_transcript	NA
CFB	6	rs9275326	HLA-DBQ1	protein_coding	Cfb
CGGBP1	3	rs115185635	KRT8P25-APOOP2	protein_coding	Cggbp1
CGRRF1	14	rs11158026	GCH1	protein_coding	Cgrrf1
CHD9	16	rs4784227	TOX3	protein_coding	Chd9
CHMP2B	3	rs115185635	KRT8P25-APOOP2	protein_coding	Chmp2b
CHMP4BP1	14	rs11158026	GCH1	processed_pseudogene	NA
CHMP7	8	rs2280104	SORBS3	protein_coding	Chmp7
CHRNB2	1	rs35749011	GBA-SYT11	protein_coding	Chrnb2
CKS1B	1	rs35749011	GBA-SYT11	protein_coding	Cks1b
CLIC1	6	rs9275326	HLA-DBQ1	protein_coding	Clic1
CLIP1	12	rs11060180	CCDC62	protein_coding	Clip1
CLIP1-AS1	12	rs11060180	CCDC62	lincRNA	NA
CLK2	1	rs35749011	GBA-SYT11	protein_coding	Clk2
CLK2P1	7	rs199347	GPNMB	processed_pseudogene	NA
CLUHP3	16	rs14235	BCKDK-STX1B	transcribed_unprocessed_pseudogene	NA
CNBD1	8	rs60298754	MMP16	protein_coding	Cnbd1
